iter,ns,epot,ekin,etot,T,t
1,1e-06,5.241048911746983,9.114981850218571,14.356030761965554,305.79116787527624,0.8622086048126221
2,2e-06,5.182472369907572,9.059078630789573,14.241551000697145,303.9157158954381,0.9514756202697754
3,3e-06,5.149216123986488,9.083922457477112,14.2331385814636,304.7491813813942,1.0391995906829834
4,4e-06,5.14143383308156,8.975764949222519,14.11719878230408,301.1206924488728,1.1604042053222656
5,4.9999999999999996e-06,5.161927131322459,8.452005433416621,13.61393256473908,283.54950726650907,1.248518705368042
6,6e-06,5.187273513403452,8.627067494064912,13.814341007468364,289.42252301749596,1.3390190601348877
7,7e-06,5.214761063166925,8.6929026016827,13.907663664849625,291.63117189650114,1.4281799793243408
8,8e-06,5.229764924063941,8.511855182568446,13.741620106632388,285.5573581861179,1.517073392868042
9,9e-06,5.236187653650841,8.811709935281845,14.047897588932686,295.6169432222618,1.6072604656219482
10,9.999999999999999e-06,5.2152472216440895,8.878765827530868,14.094013049174958,297.866547219362,1.6992366313934326
11,1.1e-05,5.158355320235584,9.069871658579263,14.228226978814847,304.27780247190674,1.7900807857513428
12,1.2e-05,5.072154695685789,9.084607772992383,14.156762468678172,304.7721724783839,1.9126627445220947
13,1.3e-05,4.930583503532937,9.027925111321947,13.958508614854884,302.8705716200052,2.0043141841888428
14,1.4e-05,4.750655613872983,9.506595261204428,14.25725087507741,318.92909006413,2.095395803451538
15,1.4999999999999999e-05,4.515682088303047,10.0047804443105,14.520462532613546,335.64230260404423,2.1859688758850098
16,1.6e-05,4.230719683620098,10.313601629436453,14.544321313056551,346.00269524289826,2.30311918258667
17,1.7e-05,3.9158959395299178,10.56505989159135,14.480955831121268,354.438665486151,2.396294116973877
18,1.8e-05,3.57636593973948,10.990641911240367,14.567007850979847,368.71617310533196,2.4863967895507812
19,1.8999999999999998e-05,3.2325741323706527,11.268706592388385,14.501280724759038,378.0447406209195,2.577004909515381
20,1.9999999999999998e-05,2.887352766082749,11.55553038019853,14.442883146281279,387.667160334983,2.667400360107422
21,2.1e-05,2.544164747747022,11.84750804367961,14.391672791426632,397.46248326338065,2.75831937789917
22,2.2e-05,2.216023502470499,11.744993422941127,13.961016925411625,394.0233030088242,2.8515288829803467
23,2.3e-05,1.915875489328343,11.958257253292768,13.87413274262111,401.1779190925874,2.946500778198242
24,2.4e-05,1.6393337682619489,12.307788819395519,13.947122587657468,412.9040714387132,3.040168046951294
25,2.4999999999999998e-05,1.399095861963307,12.701694440355558,14.100790302318865,426.1188931295669,3.1336510181427
26,2.6e-05,1.2007909738826328,12.919029840177728,14.119820814060361,433.41010301065603,3.2275846004486084
27,2.7e-05,1.0355077457377995,13.237531393416102,14.273039139153902,444.0952545046786,3.323514223098755
28,2.8e-05,0.9195572377942263,13.11234230768807,14.031899545482297,439.8953869285194,3.4186363220214844
29,2.9e-05,0.846820791875416,13.028538434253225,13.87535922612864,437.0839184306969,3.510408878326416
30,2.9999999999999997e-05,0.8271690989455678,12.898708790394979,13.725877889340547,432.7283685159933,3.600647211074829
31,3.1e-05,0.8417894346021129,13.098862524314368,13.940651958916481,439.44316455788993,3.6911561489105225
32,3.2e-05,0.891510503977301,12.975322238395643,13.866832742372944,435.29861123551257,3.779287338256836
33,3.2999999999999996e-05,0.956091908533903,12.7806557286474,13.736747637181303,428.76790164768255,3.8684215545654297
34,3.4e-05,1.02798216926033,12.674712712669804,13.702694881930134,425.2137049288771,3.9586563110351562
35,3.5e-05,1.0996911173753272,12.391569681204231,13.491260798579559,415.71476793806704,4.0460755825042725
36,3.6e-05,1.1746811370814285,12.142104404807363,13.316785541888791,407.34565876514006,4.131279230117798
37,3.7e-05,1.2397154984097014,11.91851365041828,13.158229148827981,399.8445930434226,4.2178144454956055
38,3.7999999999999995e-05,1.305964935312602,11.642267892616946,12.948232827929548,390.57704711883747,4.309755325317383
39,3.9e-05,1.3542782098030717,11.566799330334113,12.921077540137185,388.04521324603803,4.403203010559082
40,3.9999999999999996e-05,1.394720111293303,11.820794945163353,13.215515056456656,396.56630708584305,4.495671510696411
41,4.1e-05,1.413987007913473,11.575829466941556,12.98981647485503,388.3481580093561,4.586524248123169
42,4.2e-05,1.4183201030368906,11.479598920998255,12.897919024035145,385.1197971071814,4.690428018569946
43,4.2999999999999995e-05,1.3918501423063496,11.589425477769797,12.981275620076147,388.80427960103134,4.780867338180542
44,4.4e-05,1.3521163108291177,11.922925617771444,13.275041928600562,399.9926065745213,4.872561454772949
45,4.4999999999999996e-05,1.2914760948421673,11.842142216545785,13.133618311387952,397.2824694605194,4.9815216064453125
46,4.6e-05,1.2206702754896774,12.437950536430272,13.658620811919949,417.27076180834393,5.07215142250061
47,4.7e-05,1.1495669882431585,12.488420618630801,13.63798760687396,418.9639418532928,5.163760662078857
48,4.8e-05,1.0925750386474427,12.47331511065519,13.565890149302632,418.45717936038653,5.255536317825317
49,4.9e-05,1.0603757530089126,12.694938438904513,13.755314191913426,425.89224149077813,5.345577955245972
50,4.9999999999999996e-05,1.040726044206819,12.733055217266326,13.773781261473145,427.1709905176478,5.436661005020142
51,5.1e-05,1.0382473806217085,12.586712769657533,13.624960150279241,422.2614658801471,5.526556730270386
52,5.2e-05,1.0657923019285853,12.519914219611133,13.585706521539718,420.02049524885905,5.619987487792969
53,5.3e-05,1.121762515813776,12.51050930658251,13.632271822396286,419.70497741393115,5.710545301437378
54,5.4e-05,1.2074433058551364,12.324850810110686,13.532294115965822,413.47647039164616,5.804068565368652
55,5.4999999999999995e-05,1.319074622546772,12.248191855015229,13.567266477562,410.90470099133995,5.895737409591675
56,5.6e-05,1.4438664278345144,12.037396690522431,13.481263118356946,403.8329041856044,5.987787961959839
57,5.6999999999999996e-05,1.5904980491914582,11.770774709868483,13.361272759059942,394.8882185915859,6.078904390335083
58,5.8e-05,1.7503876217317806,12.004006333984437,13.754393955716218,402.7127180690209,6.172869682312012
59,5.9e-05,1.9329351925497527,11.460836216850286,13.393771409400038,384.49034229222,6.2687084674835205
60,5.9999999999999995e-05,2.1148132703826352,11.634589789932733,13.749403060315368,390.31946065015836,6.36025595664978
61,6.1e-05,2.2763331727370026,11.45317183471603,13.729505007453033,384.23321612319535,6.449758529663086
62,6.2e-05,2.429700098714065,11.362899202259534,13.792599300973599,381.2047324509667,6.543811321258545
63,6.3e-05,2.571639741858574,11.303718782862862,13.875358524721436,379.21933633498617,6.635756254196167
64,6.4e-05,2.6870426026434995,11.038188728629935,13.725231331273434,370.31128289899107,6.805819511413574
65,6.5e-05,2.744332717769371,10.740426367315298,13.484759085084669,360.3218938127671,6.899745941162109
66,6.599999999999999e-05,2.753703748128748,10.603297621159268,13.357001369288016,355.72147220739447,6.99179220199585
67,6.7e-05,2.721819130369628,10.512868669679667,13.234687800049295,352.6877443144508,7.081760883331299
68,6.8e-05,2.6478666756232165,10.420179371553159,13.068046047176376,349.5781858765517,7.178943395614624
69,6.9e-05,2.5401911490255333,10.421901080709473,12.962092229735006,349.63594610715904,7.2703187465667725
70,7e-05,2.3958708107850093,10.43062896330302,12.82649977408803,349.92875079456445,7.36273455619812
71,7.099999999999999e-05,2.2351157295248107,10.401837484712551,12.636953214237362,348.96284872172333,7.4558515548706055
72,7.2e-05,2.05618026902129,10.820349399267405,12.876529668288695,363.00316709255776,7.551841497421265
73,7.3e-05,1.8591749579631482,10.968206106371383,12.827381064334531,367.9634923994517,7.644546985626221
74,7.4e-05,1.658522598242369,11.01771986710828,12.676242465350649,369.62458958762323,7.7409069538116455
75,7.5e-05,1.4581462552515845,11.438258354436295,12.89640460968788,383.7328958124406,7.834667921066284
76,7.599999999999999e-05,1.267554507265217,11.707741019866297,12.975295527131514,392.7735522106765,7.929725885391235
77,7.7e-05,1.1063799956960683,11.904082782424169,13.010462778120237,399.3604635026416,8.02324891090393
78,7.8e-05,0.9723300455615629,12.210542139638118,13.182872185199681,409.64162108349984,8.118479013442993
79,7.9e-05,0.8701544150402061,12.284134499245344,13.15428891428555,412.1105117473305,8.21605110168457
80,7.999999999999999e-05,0.7926773536451535,12.196045718751478,12.988723072396631,409.15529236164605,8.31212043762207
81,8.099999999999999e-05,0.7483865987172607,12.19892571450383,12.94731231322109,409.2519110142182,8.43496823310852
82,8.2e-05,0.742260103978678,12.264239292488053,13.006499396466731,411.44306351656024,8.527631998062134
83,8.3e-05,0.7549673251284599,11.857617049672836,12.612584374801296,397.8016221447875,8.621983051300049
84,8.4e-05,0.7814315432085017,11.83125142090125,12.612682964109752,396.9171029492132,8.717252016067505
85,8.499999999999999e-05,0.8251153904131634,11.841611669555697,12.66672705996886,397.2646705678416,8.814829111099243
86,8.599999999999999e-05,0.8542137154614196,12.05674297142971,12.91095668689113,404.481936946162,8.909416437149048
87,8.7e-05,0.8512017888085168,11.983430238770122,12.834632027578639,402.0224272610642,9.007973432540894
88,8.8e-05,0.8079193866944863,12.473627744168693,13.28154713086318,418.4676676497526,9.108468532562256
89,8.9e-05,0.7201233481073022,12.353661584799106,13.073784932906408,414.44301981370035,9.236668825149536
90,8.999999999999999e-05,0.5785936803659268,12.09556132381855,12.674155004184477,405.7842225137074,9.333943128585815
91,9.099999999999999e-05,0.39295021574792877,12.119471514414847,12.512421730162776,406.58636619613134,9.43273377418518
92,9.2e-05,0.15438604021912816,12.33487308887169,12.489259129090819,413.81269973115116,9.528080224990845
93,9.3e-05,-0.12893359730276366,12.912400260542602,12.783466663239839,433.1876925953134,9.623763799667358
94,9.4e-05,-0.4630610476811903,13.704273332542927,13.241212284861737,459.75360303540447,9.719778776168823
95,9.499999999999999e-05,-0.8265559082652967,14.073399364908788,13.246843456643491,472.13711431223896,9.816014051437378
96,9.6e-05,-1.2131886871542896,14.704933703963754,13.491745016809464,493.32395003680244,9.910038948059082
