,iter,ns,epot,ekin,etot,T,t
200,20100,0.0201,-24.87228705037097,11.305015283232567,-13.567271767138408,379.2628315792683,762.0631141662598
210,21100,0.0211,-22.695535125944094,8.911288095325533,-13.784247030618564,298.95761052747434,792.6520841121674
220,22100,0.0221,-23.259724332624497,13.590851997126816,-9.66887233549768,455.94852221475156,823.2634508609773
230,23100,0.0231,-24.07326931887777,9.969496144917336,-14.103773173960436,334.45857812752894,853.781391620636
240,24100,0.0241,-19.43651555386096,7.9073827872331295,-11.529132766627828,265.2784017652096,884.3794770240784
250,25100,0.0251,-21.63055367113224,9.289419145398467,-12.341134525733773,311.64322387391616,914.848251581192
260,26100,0.0261,-23.735769555185943,7.518219812678932,-16.21754974250701,252.2226872900468,945.3484630584717
270,27100,0.0271,-24.755602664323497,5.547647316383497,-19.20795534794,186.11354138860654,975.8475303649902
280,28100,0.0281,-20.588412003918926,10.585587071943213,-10.002824931975713,355.1273152888747,1006.3537192344666
290,29100,0.0291,-16.392704997504985,10.014622558982273,-6.378082438522714,335.97248776396,1036.8735582828524
300,30100,0.0301,-19.133949518136816,9.435758531308618,-9.698190986828196,316.55264579696063,1067.4159591197968
310,31100,0.0311,-17.34106338817799,12.761113372727324,-4.579950015450665,428.1122909248054,1097.9867279529574
320,32100,0.0321,-20.103139014314934,9.252702728070126,-10.850436286244808,310.4114544288941,1128.4686541557312
330,33100,0.0331,-16.651371701353206,8.939448880875052,-7.711922820478151,299.9023539886218,1159.0178124904633
340,34100,0.0341,-22.041913983724108,11.986425416731189,-10.055488566992922,402.12291006857384,1189.6792778968809
350,35100,0.0351,-14.335039041139893,9.08565034580111,-5.249388695338787,304.80714891191,1220.1394407749174
360,36100,0.0361,-25.251424541971797,14.65861917148744,-10.592805370484353,491.77018117491616,1250.5781960487366
370,37100,0.0371,-24.037694667629953,7.199867070698375,-16.837827596931575,241.5425281447825,1281.0477292537691
380,38100,0.0381,-29.942420121002087,6.517576197369541,-23.424843923632544,218.65290242590473,1311.5273473262787
390,39100,0.0391,-29.819737388543647,7.931383051995027,-21.88835433654862,266.0835672731015,1342.0185289382935
400,40100,0.0401,-30.09026365849774,11.235257857761251,-18.855005800736485,376.92259602495017,1372.5181033611298
410,41100,0.0411,-28.631742034465898,7.949674837824918,-20.682067196640986,266.69722362956605,1402.9224631786346
420,42100,0.0421,-27.429055136841914,8.691921603991021,-18.73713353285089,291.5982611968694,1433.4690318107605
430,43100,0.0431,-28.809694136991787,8.622266649415819,-20.18742748757597,289.26146335592364,1464.0037262439728
440,44100,0.0441,-22.742539716315108,4.457926428612653,-18.28461328770245,149.55537501973566,1494.5229048728945
450,45100,0.0451,-29.58646964837125,8.050236173768248,-21.536233474602998,270.07087470935096,1525.0053977966309
460,46100,0.0461,-29.160420898135115,6.533529000913408,-22.626891897221714,219.18809015383715,1555.603925704956
470,47100,0.0471,-23.848558073195427,12.548926132073483,-11.299631941121945,420.99379247971916,1586.0932261943815
480,48100,0.0481,-20.71093873994708,7.6912943718271745,-13.019644368119902,258.02902595765164,1616.700970172882
490,49100,0.0491,-20.19405356280989,4.502654413452077,-15.691399149357816,151.05591807571847,1647.2631590366364
500,50100,0.050099999999999985,-22.856439510560428,12.564282426287386,-10.292157084273036,421.50896839768257,1677.8429641723633
510,51100,0.051099999999999986,-23.1380864899915,11.942844623990705,-11.1952418660008,400.6608532342288,1708.4716114997864
520,52100,0.0521,-22.277163224626747,13.160478078258949,-9.1166851463678,441.5102550370161,1739.062004327774
530,53100,0.0531,-24.41564362621725,8.944624544225476,-15.47101908199177,300.0759881402266,1769.8105564117432
540,54100,0.0541,-21.8313385332026,4.184145094366425,-17.647193438836172,140.37050605155468,1800.1897559165955
550,55100,0.0551,-20.816471395828763,15.718166977703671,-5.098304418125084,527.3160951884233,1830.5875232219696
560,56100,0.0561,-17.605854209537878,10.205664845772938,-7.400189363764943,342.3816112214994,1861.539666891098
570,57100,0.0571,-22.685330491020174,9.556419552512024,-13.128910938508149,320.600604991737,1904.9492635726929
