,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-27.571026188726982,19.88155251336704,-7.689473675359945,666.9901555635414,4.8283350467681885
10,1100,0.0011,-27.402868907679693,12.656996387125304,-14.745872520554386,424.6193542249773,50.75093197822571
20,2100,0.0021,-29.12402348944457,12.270594241759653,-16.853429247684918,411.65626057953665,92.97812867164612
30,3100,0.0031000000000000003,-24.104925600718857,9.843298356490203,-14.261627244228654,330.22487039880923,137.43386387825012
40,4100,0.0041,-26.610856735141624,8.17384982880882,-18.437006906332805,274.2178894331687,182.21721816062927
50,5100,0.0051,-25.544051692976364,8.25458828825883,-17.289463404717537,276.9265188318194,227.63640832901
60,6100,0.0061,-30.62673860863036,10.798579934824392,-19.828158673805973,362.2728409037142,276.0947916507721
70,7100,0.007099999999999999,-32.08458327913561,7.703366664312504,-24.381216614823106,258.434029552687,315.5555510520935
80,8100,0.0081,-29.919805304657327,10.446224000614832,-19.473581304042497,350.4519361119903,360.2803809642792
90,9100,0.0091,-30.783403969853946,10.285205919713817,-20.49819805014013,345.0500705003131,404.84031987190247
100,10100,0.0101,-31.998656327932085,11.837682893379741,-20.160973434552343,397.13286722748313,449.4930491447449
110,11100,0.0111,-23.89750923676139,9.665939643616916,-14.23156959314447,324.27480611633587,486.3573009967804
120,12100,0.0121,-26.19406259569479,11.343564783896046,-14.850497811798745,380.5560976573145,518.3013739585876
130,13100,0.0131,-24.340425100295906,14.513297998898327,-9.827127101397576,486.89491846860983,548.6479053497313
140,14100,0.014099999999999996,-23.651880492866773,9.904127157146739,-13.747753335720036,332.26556672699434,579.0623834133147
150,15100,0.0151,-29.01195145196158,11.091687729083931,-17.920263722877646,372.10607767728186,609.634507894516
160,16100,0.0161,-33.253175990792606,17.509499619117857,-15.743676371674738,587.4120678927477,640.3303685188292
170,17100,0.017099999999999997,-30.08833861276757,9.560048026519057,-20.528290586248513,320.72233373705416,670.8020851612091
180,18100,0.0181,-25.619673525846206,6.9007032943685775,-18.718970231477627,231.50612411753,701.23335313797
190,19100,0.0191,-29.72274208529096,6.593436093351698,-23.129305991939262,221.1978648370723,731.6532363891603
200,20100,0.0201,-29.39561437856113,6.0163532736000835,-23.379261104961053,201.83777917674027,762.0739321708679
210,21100,0.0211,-26.550416710203546,12.436014033398695,-14.114402676804847,417.2057956314112,792.6629183292389
220,22100,0.0221,-26.500841001951446,8.330898712673553,-18.16994228927789,279.4865956576746,823.2742836475372
230,23100,0.0231,-26.170597525178547,6.501698363632745,-19.668899161545802,218.12022979950908,853.7920536994934
240,24100,0.0241,-25.462269295221766,11.407020462700244,-14.055248832521533,382.68492099988515,884.3903193473816
250,25100,0.0251,-23.817725308702197,10.403367581178845,-13.414357727523356,349.0141806928756,914.8590857982635
260,26100,0.0261,-24.90580729599704,9.261617999249328,-15.644189296747706,310.71054566468706,945.3593077659607
270,27100,0.0271,-27.099893682597433,12.676819020810337,-14.423074661787094,425.2843677603323,975.858362197876
280,28100,0.0281,-31.378265772387728,11.025302030815043,-20.352963741572687,369.87895747699616,1006.3643543720244
290,29100,0.0291,-30.66248416519718,7.399708882110432,-23.262775283086754,248.24685975028515,1036.8843557834623
300,30100,0.0301,-30.488405455757967,7.7185862738240925,-22.76981918193387,258.9446199459134,1067.426798582077
310,31100,0.0311,-32.72684415512519,9.429661109369947,-23.297183045755247,316.34808831058336,1097.9975469112396
320,32100,0.0321,-32.82084378167629,9.820019312483165,-23.000824469193123,329.44390054380494,1128.4794867038727
330,33100,0.0331,-31.057897163776158,11.669244488628724,-19.388652675147434,391.4820631611397,1159.0286467075348
340,34100,0.0341,-28.097041529541357,11.651756070416779,-16.445285459124573,390.8953583363579,1189.6901149749754
350,35100,0.0351,-26.99589043495515,9.498637036930901,-17.49725339802425,318.66210602238374,1220.1502840518954
360,36100,0.0361,-27.625204880280954,12.256046487925875,-15.36915839235508,411.1682097300788,1250.5890350341795
370,37100,0.0371,-23.60967263378425,11.359298276567161,-12.250374357217096,381.08392790181915,1281.0585680007935
380,38100,0.0381,-23.90149070471359,14.456083866575547,-9.445406838138048,484.975487730354,1311.5381927490234
390,39100,0.0391,-23.94483378669116,8.14081216406654,-15.804021622624614,273.1095354889235,1342.0293591022494
400,40100,0.0401,-21.642505464405414,11.169780984634505,-10.472724479770914,374.7259652656943,1372.528945684433
410,41100,0.0411,-22.608429021276674,10.762415506111688,-11.846013515164984,361.0595896791565,1402.9331517219546
420,42100,0.0421,-23.267823426061934,16.33900027576754,-6.928823150294398,548.1439303273662,1433.4798710346222
430,43100,0.0431,-18.57280643648377,8.454193871360266,-10.118612565123504,283.6229254044282,1464.0145037174225
440,44100,0.0441,-24.445645592727786,10.862845119449496,-13.582800473278288,364.42882170358376,1494.5337193012238
450,45100,0.0451,-22.583043094328985,11.251701710228227,-11.331341384100757,377.4742575567968,1525.0162329673767
460,46100,0.0461,-23.86853796479815,13.946618358106285,-9.921919606691867,467.8838406610565,1555.614764213562
470,47100,0.0471,-22.187556183471347,12.797032888101985,-9.39052329536936,429.31732574949547,1586.1040606498718
480,48100,0.0481,-26.90192945252161,9.112765993395637,-17.78916345912597,305.7168298835102,1616.7117834091187
490,49100,0.0491,-28.706334673699914,7.611191464795139,-21.095143208904773,255.3417181940115,1647.273990392685
500,50100,0.050099999999999985,-26.760786009755893,11.796767775950208,-14.964018233805678,395.76023898223536,1677.8537936210632
510,51100,0.051099999999999986,-28.584527368551356,7.945973921376747,-20.638553447174605,266.57306457127163,1708.4824373722076
520,52100,0.0521,-30.727061755911695,10.454375845790661,-20.27268591012103,350.72541578508424,1739.0728378295898
