,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-28.12316984146813,12.689695521123381,-15.433474320344743,425.7163510745698,4.8240697383880615
10,1100,0.0011,-22.157470417151483,11.130808714422386,-11.026661702729097,373.41851603334845,50.746642112731934
20,2100,0.0021,-23.758160292499277,8.672706544929387,-15.085453747569884,290.9536306920803,92.97383713722229
30,3100,0.0031000000000000003,-29.221160822768184,9.265479182637456,-19.955681640130727,310.84008138917216,137.42957615852356
40,4100,0.0041,-27.381982359765363,5.584594458842423,-21.797387900922946,187.353051244778,182.21292853355408
50,5100,0.0051,-34.17095125003216,12.133116669677243,-22.037834580354914,407.0441364947556,227.63216304779053
60,6100,0.0061,-27.439144389886394,6.2600697922488715,-21.179074597637523,210.01402791675517,276.0904560089112
70,7100,0.007099999999999999,-33.418444691264966,15.248924658703478,-18.16952003256149,511.57386343179815,315.5512614250183
80,8100,0.0081,-34.12236182273374,13.147760228300333,-20.974601594433405,441.08359415544624,360.2761332988739
90,9100,0.0091,-35.213974600452545,10.866815637016053,-24.3471589634365,364.56202539215917,404.8360493183136
100,10100,0.0101,-26.55655242943069,6.652285281185362,-19.904267148245328,223.17214873273758,449.488755941391
110,11100,0.0111,-32.39936660578559,14.407059338391607,-17.99230726739398,483.3308034101606,486.3529329299927
120,12100,0.0121,-29.426037295327287,13.411717473062305,-16.014319822264984,449.9388826761764,518.2970113754271
130,13100,0.0131,-28.498694776619182,9.401075671538504,-19.097619105080682,315.389098532837,548.6435427665709
140,14100,0.014099999999999996,-27.105762939999146,10.60866147039224,-16.497101469606907,355.90141965525663,579.0580523014069
150,15100,0.0151,-32.24290410919921,10.62665711946032,-21.61624698973889,356.50514115856066,609.6301679611206
160,16100,0.0161,-33.097551252818555,13.41807950817332,-19.679471744645234,450.1523174562593,640.326003074646
170,17100,0.017099999999999997,-35.27071644968206,13.061969241691664,-22.2087472079904,438.2054616018847,670.7977187633513
180,18100,0.0181,-33.50296412176076,9.667371195884025,-23.835592925876735,324.3228321077013,701.2289900779724
190,19100,0.0191,-33.66278023663269,13.369781063511534,-20.29299917312116,448.53199192600783,731.648868560791
200,20100,0.0201,-32.802642897440464,13.737860879469972,-19.0647820179705,460.8804045331649,762.0695748329163
210,21100,0.0211,-36.264661439507954,13.628271651487687,-22.636389788020264,457.20388399127836,792.6585524082184
220,22100,0.0221,-34.82038636572749,12.15830770548452,-22.66207866024297,407.88925021917936,823.2699182033539
230,23100,0.0231,-36.27715951121964,13.824137967144567,-22.45302154407507,463.7748448989744,853.787759065628
240,24100,0.0241,-35.93051882295971,11.299005776883837,-24.631513046075877,379.0612235020467,884.3859505653381
250,25100,0.0251,-38.5012344591443,7.597092382083565,-30.904142077060733,254.86871944983528,914.8547196388243
260,26100,0.0261,-36.61963308857107,6.978582119965648,-29.641050968605427,234.1188179685344,945.3549370765686
270,27100,0.0271,-34.8818495159414,5.03285391489128,-29.84899560105012,168.84315313731057,975.8539938926697
