,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-10.531360932499368,12.785788613944053,2.2544276814446835,428.9401006728946,4.821916103363037
10,1100,0.0011,-11.532670659812384,6.165496075157668,-5.367174584654718,206.84125062823745,50.74448490142822
20,2100,0.0021,-12.622337115101647,10.162183209570717,-2.4601539055309316,340.92288090981083,92.97167563438416
30,3100,0.0031000000000000003,-15.200836384311028,11.998346726047561,-3.2024896582634668,402.52284845115753,137.42741894721985
40,4100,0.0041,-17.342074322994655,10.625335093357727,-6.716739229636929,356.46078957207186,182.2107696533203
50,5100,0.0051,-17.57385072205419,9.46706454849434,-8.106786173559849,317.6029060952316,227.63002109527588
60,6100,0.0061,-16.567356394808307,12.365934978599887,-4.2014214162084205,414.8547699944255,276.0882761478424
70,7100,0.007099999999999999,-14.266727717726027,8.313554536533744,-5.953173181192284,278.90472989372915,315.54910397529596
80,8100,0.0081,-19.365912775453147,10.340360005326355,-9.025552770126788,346.9003903944934,360.27398109436035
90,9100,0.0091,-19.71910035490773,7.928605441368369,-11.790494913539364,265.99038345645914,404.83389163017273
100,10100,0.0101,-13.504118510438348,7.502645588488518,-6.001472921949827,251.700200215229,449.48659658432007
110,11100,0.0111,-14.165052427316411,10.285603255446254,-3.8794491718701543,345.06340039604487,486.35073685646057
120,12100,0.0121,-20.147022939974423,12.420709715070734,-7.7263132249036905,416.6923634104869,518.2948241233827
130,13100,0.0131,-17.74004811141829,8.9647851552476,-8.775262956170689,300.75234020442593,548.6413493156433
140,14100,0.014099999999999996,-18.296446537277557,8.787596151949586,-9.508850385327966,294.80796937149256,579.0558803081512
150,15100,0.0151,-15.474469076112324,6.971328296502129,-8.503140779610195,233.8754653009241,609.6279861927032
160,16100,0.0161,-18.758350131176726,7.839547571556051,-10.918802559620676,263.0026528755431,640.3238086700441
170,17100,0.017099999999999997,-17.62218699666027,11.150178800549163,-6.47200819611111,374.06834741599783,670.7955234050752
180,18100,0.0181,-14.274407137935519,5.954120387468906,-8.320286750466613,199.74997831843726,701.2267971038817
190,19100,0.0191,-20.562634388789,11.480427580001175,-9.082206808787824,385.14759711912194,731.6466736793518
200,20100,0.0201,-25.43677447272919,10.016064723784961,-15.42070974894423,336.02086978671434,762.0673847198486
210,21100,0.0211,-22.343558191871548,9.996857182575756,-12.346701009295792,335.37649149228747,792.6563572883606
220,22100,0.0221,-24.450085813822703,7.916599177412563,-16.533486636410142,265.58759499925816,823.2677240371704
230,23100,0.0231,-18.775619158050027,6.688672100354927,-12.0869470576951,224.3928607552043,853.7855978012085
240,24100,0.0241,-19.26939097565749,7.655270966968402,-11.614120008689087,256.8205058285255,884.3837540149689
250,25100,0.0251,-26.92440764069513,10.098632429008351,-16.825775211686782,338.79086707512766,914.852525472641
260,26100,0.0261,-17.083588707396743,10.996424167140546,-6.087164540256195,368.9101573407068,945.3527405261992
270,27100,0.0271,-13.699444056933668,10.520261786860893,-3.179182270072776,352.9357700345494,975.8517990112304
280,28100,0.0281,-16.36295436930198,8.366739151301037,-7.996215218000945,280.6889776004097,1006.3579235076904
290,29100,0.0291,-19.011096990236148,8.387741897151146,-10.623355093085001,281.3935817661261,1036.8778085708618
300,30100,0.0301,-20.176730821994802,10.838737300791724,-9.337993521203078,363.6200479568639,1067.420235157013
310,31100,0.0311,-20.7717384317648,11.751953708827262,-9.019784722937533,394.2568080212139,1097.9909987449646
320,32100,0.0321,-26.380930750984497,15.813808174620108,-10.56712257636439,530.5246844958573,1128.4729273319244
330,33100,0.0331,-19.70842566378248,9.791089717185876,-9.9173359465966,328.47336490506376,1159.0220863819122
340,34100,0.0341,-26.48742352518785,10.6198078085069,-15.867615716680946,356.27535915460226,1189.6835525035858
350,35100,0.0351,-29.908599026787694,11.260017408534196,-18.648581618253502,377.7532342062806,1220.1437180042267
360,36100,0.0361,-27.24876313831434,8.787444124004535,-18.461319014309808,294.80286910869114,1250.5824716091154
370,37100,0.0371,-28.47642283706114,10.863460581607026,-17.612962255454107,364.4494693466649,1281.0520045757296
380,38100,0.0381,-19.83401762373381,10.55831884266284,-9.275698781070966,354.2125154774701,1311.5316243171692
390,39100,0.0391,-26.758152008269786,8.905587281888412,-17.85256472638137,298.7663585395469,1342.0227971076965
400,40100,0.0401,-24.821714788990192,8.955582805942033,-15.866131983048156,300.44361801631993,1372.522379398346
410,41100,0.0411,-29.86705532311151,7.854054948599519,-22.01300037451199,263.48934915665785,1402.9266798496246
420,42100,0.0421,-30.15243428363714,10.89884594039928,-19.253588343237862,365.6365841833784,1433.4733068943024
430,43100,0.0431,-27.13906322613907,9.209598553699015,-17.929464672440048,308.9653872794652,1464.0079774856567
440,44100,0.0441,-24.42748685968593,7.87662787327355,-16.550858986412383,264.2466299841854,1494.527170419693
450,45100,0.0451,-29.55621665252789,6.651280010121834,-22.90493664240606,223.1384237053487,1525.0096714496613
460,46100,0.0461,-31.70328885357613,12.080793192321405,-19.622495661254725,405.2887783919245,1555.6082000732422
470,47100,0.0471,-33.73424516265962,10.066218587079485,-23.668026575580136,337.70344125885845,1586.097499370575
480,48100,0.0481,-29.47145091741009,7.541906226560496,-21.9295446908496,253.0173236681156,1616.705236196518
490,49100,0.0491,-32.63929661729445,10.319315496763156,-22.319981120531292,346.19438516522916,1647.2674310207367
500,50100,0.050099999999999985,-28.94384413550075,6.652960117723883,-22.290884017776865,223.1947882789956,1677.8472361564636
510,51100,0.051099999999999986,-30.810575696149503,10.365035059431698,-20.4455406367178,347.72819386533376,1708.475881576538
520,52100,0.0521,-31.203206135135908,8.77184824240691,-22.431357892729,294.27965546700216,1739.0662777423859
530,53100,0.0531,-29.64442714260534,10.821901614744176,-18.822525527861167,363.0552411165367,1769.81480884552
540,54100,0.0541,-30.575930602983714,11.248284878766883,-19.327645724216822,377.35962903639313,1800.1940286159515
550,55100,0.0551,-28.745339414920217,14.98868803930417,-13.756651375616045,502.8433951678248,1830.5917885303495
560,56100,0.0561,-28.60457902825932,9.616233523445194,-18.988345504814127,322.60725561677066,1861.5438709259035
570,57100,0.0571,-31.095245096416782,7.9152302393187215,-23.180014857098055,265.5416696002454,1904.953468799591
580,58100,0.05810000000000001,-29.481004969725202,7.8625536513454835,-21.618451318379726,263.77446527436575,1935.621836900711
590,59100,0.059099999999999986,-30.281958846918844,9.199020048276832,-21.08293879864201,308.6104975407273,1966.0767035484314
600,60100,0.0601,-28.816465072730054,11.042999432062114,-17.773465640667947,370.47267330491854,1996.6059470176695
610,61100,0.0611,-27.685795655783483,10.5499512620593,-17.135844393724177,353.9317982706678,2027.085380077362
620,62100,0.0621,-29.254658857366948,13.234928379779243,-16.019730477587707,444.00792810150085,2057.6647334098816
630,63100,0.06309999999999999,-30.322770606894302,14.672975719645542,-15.649794887248756,492.2518174195147,2088.2241644859314
640,64100,0.06409999999999999,-27.25482288602368,8.049811904232673,-19.20501098179101,270.0566412332004,2118.8850936889653
650,65100,0.0651,-26.78744339639173,8.93256504271898,-17.85487835367275,299.6714136594144,2149.4832425117493
660,66100,0.0661,-32.57050562309898,12.107703594447901,-20.462802028651076,406.19157374900567,2180.0918707847595
670,67100,0.06709999999999999,-32.372680113836076,8.066674882805254,-24.306005231030827,270.6223636884176,2210.650887727737
680,68100,0.0681,-33.2974348839178,8.284983627161214,-25.012451256756577,277.9462275195225,2241.1889081001277
690,69100,0.0691,-33.38140739521907,6.553771887757856,-26.82763550746121,219.86720242318108,2271.8385627269745
