,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-31.742225792472052,16.088584605598562,-15.653641186873484,539.7429371609999,4.830498218536377
10,1100,0.0011,-30.308391873317863,12.931350918593113,-17.377040954724755,433.8234529240223,50.75310182571411
20,2100,0.0021,-26.357457919138465,11.04549095929544,-15.311966959843025,370.5562595407434,92.98029971122742
30,3100,0.0031000000000000003,-29.45550102470861,10.961885232533765,-18.493615792174847,367.75143850570186,137.43603014945984
40,4100,0.0041,-31.99220856432937,9.957364818517274,-22.034843745812093,334.05159405134424,182.2193865776062
50,5100,0.0051,-29.16910619236415,17.66914092549148,-11.499965266872673,592.767745207229,227.6385533809662
60,6100,0.0061,-26.958839222406198,16.918134873117268,-10.040704349288927,567.5728494180065,276.09698843956
70,7100,0.007099999999999999,-23.14732437256359,6.556818555587242,-16.59050581697635,219.9694126227169,315.55771684646606
80,8100,0.0081,-28.599690128555608,11.426971633192482,-17.172718495363135,383.35424671282163,360.2825195789337
90,9100,0.0091,-31.85933981037586,11.585385915257692,-20.27395389511817,388.6687595793154,404.8424899578095
100,10100,0.0101,-29.1663886340094,9.290637497135203,-19.8757511368742,311.6840973727976,449.4952201843262
110,11100,0.0111,-32.28999943492636,14.622183290054805,-17.667816144871555,490.5478232021919,486.359516620636
120,12100,0.0121,-32.57097743679653,8.296742073009021,-24.27423536378751,278.34070212707354,518.3035864830017
130,13100,0.0131,-34.80550349492674,10.152627179741547,-24.65287631518519,340.6022933793329,548.6501183509827
140,14100,0.014099999999999996,-28.8028340808585,10.41691005823957,-18.38592402261893,349.46850632340045,579.0645694732666
150,15100,0.0151,-28.88381879117093,7.750403549339175,-21.133415241831763,260.0120320371545,609.6367065906525
160,16100,0.0161,-27.249941851192578,8.206498242365996,-19.043443608826585,275.31318470363425,640.3325824737549
170,17100,0.017099999999999997,-28.59054308704319,11.585475617503128,-17.005067469540062,388.671768927534,670.8042998313904
180,18100,0.0181,-32.99827197089239,15.7303070094281,-17.267964961464287,527.7233713125077,701.235565662384
190,19100,0.0191,-33.517124747721525,15.035151378421471,-18.481973369300057,504.40215622358284,731.6554517745973
200,20100,0.0201,-27.137670486791386,12.543284107203569,-14.594386379587815,420.80451274197486,762.0761370658875
210,21100,0.0211,-29.43745140270853,8.398527312333016,-21.038924090375517,281.75541295336035,792.6651327610016
