epoch,lr,steps,timestep,train_loss,train_avg_metric,val_loss,val_avg_metric,t
1,0.0005,100,5,1.1031449687309332,1.1031449709003147,1.064999236844163,1.0649992398561,1766.1886699199677
2,0.0005,100,5,1.047203684116765,1.0472036860572054,1.0235703508666856,1.0235703493805324,3534.895985364914
3,0.0005,100,5,1.0151099817725098,1.0151099825660233,1.017336961912348,1.0173369646270543,5310.095485448837
4,0.0005,100,5,1.0060015628358843,1.006001563709416,1.004871132327838,1.0048711321891306,7084.71866607666
5,0.0005,100,5,1.0066342181515011,1.006634219089492,0.9996762121928499,0.999676214055495,8862.330669879913
6,0.0005,100,5,0.99517704114798,0.9951770407212165,1.0052300237436245,1.0052300235058398,10634.197312116623
7,0.0005,100,5,0.9966195943389702,0.9966195944923383,0.9788235472118918,0.9788235466570613,12410.465375185013
8,0.0005,100,5,0.9836929670839542,0.9836929665682815,0.9667813214176195,0.9667813200899895,14189.25310921669
9,0.0005,100,5,0.9685026343005013,0.9685026344316423,0.9544261444875217,0.9544261438930606,15964.159672260284
10,0.0005,100,5,0.9597222947277716,0.9597222928584582,0.9724914350527081,0.9724914341610162,17740.727292060852
11,0.0005,100,5,0.9554064033779722,0.9554064021287997,0.9596799586681609,0.9596799598174527,19513.46939754486
12,0.0005,100,5,0.9518326101380096,0.9518326089910825,0.9612428309554433,0.9612428319858427,21285.849218845367
13,0.0005,100,5,0.9506177462766343,0.9506177447940755,0.944743813411828,0.9447438130353359,23062.53527522087
14,0.0005,100,5,0.946449696859856,0.9464496956462471,0.9519907072820561,0.9519907048249499,24838.211055278778
15,0.0005,100,5,0.9462058900728786,0.9462058884569562,0.9525183154507837,0.9525183150148455,26616.295419692993
16,0.0005,100,5,0.9488734739714776,0.948873472746755,0.9483435868503566,0.9483435877618638,28395.834344148636
17,0.0005,100,5,0.9464837772358289,0.9464837768868608,0.9435069722896243,0.9435069703279023,30183.99495625496
18,0.0005,100,5,0.9518625055370866,0.9518625045368595,0.9543687175919718,0.9543687172154797,31966.989963054657
19,0.0005,100,5,0.9493645549705141,0.9493645543681551,0.9515707341042605,0.9515707349959523,33753.201832294464
20,0.0005,100,5,0.945848137889333,0.9458481375092467,0.9541000506266001,0.9541000471589096,35539.63454699516
21,0.0005,100,5,0.9427977969385417,0.9427977962828372,0.940282394990642,0.9402823924542741,37319.92592740059
22,0.0005,100,5,0.9412341267092771,0.9412341254200955,0.9605934763565025,0.9605934753261031,39101.503532886505
23,0.0005,100,5,0.9386701056653709,0.9386701045651211,0.9527950049675209,0.9527950054430898,40875.94310641289
24,0.0005,100,5,0.9378597203859957,0.937859719903664,0.9331786985647805,0.9331786983468114,42658.49551820755
25,0.0005,100,5,0.9305334001921811,0.9305333986384949,0.9499496339047526,0.9499496340038295,44437.99234127998
26,0.0005,100,5,0.930570370013112,0.9305703694974394,0.9419634766638914,0.9419634755938611,46221.20094013214
27,0.0005,100,5,0.9336234931911838,0.9336234918108703,0.925340371959387,0.9253403704732339,48007.648957014084
28,0.0005,100,5,0.9328678855005661,0.932867884133589,0.946159265142806,0.9461592669856358,49787.847638845444
29,0.0005,100,5,0.9327524884677267,0.9327524867984589,0.9339093986819399,0.9339093977506173,51566.9651722908
30,0.0005,100,5,0.9274763841502066,0.9274763818785797,0.9250945099530384,0.9250945095963617,53346.94322681427
31,0.0005,100,5,0.9294441321904733,0.9294441309457463,0.9239783574965723,0.9239783568030342,55123.00221681595
32,0.0005,100,5,0.9220061440883218,0.9220061428747128,0.9277939058126922,0.9277939042274622,56902.983072280884
33,0.0005,100,5,0.92078445919596,0.9207844580757056,0.9231429552817916,0.9231429511800091,58682.7040309906
34,0.0005,100,5,0.9228653433512638,0.9228653410907506,0.9187075190761305,0.9187075205424682,60461.07216358185
35,0.0005,100,5,0.920519273770364,0.920519272427837,0.9207287057639754,0.9207287044363454,62236.71939969063
36,0.0005,100,5,0.9173953864514508,0.9173953843287466,0.9142532577104074,0.914253259810837,64014.8283162117
37,0.0005,100,5,0.9205514909988514,0.9205514894407199,0.9231374221952989,0.9231374231266215,65793.12243700027
38,0.0005,100,5,0.9159632666916686,0.9159632653291371,0.9215486801051079,0.92154867915397,67570.2719631195
39,0.0005,100,5,0.9154935313993287,0.9154935310570288,0.927537785169292,0.9275377851296612,69348.49726891518
40,0.0005,100,5,0.9172476192687355,0.917247616985995,0.9358579571497567,0.9358579553267423,71122.8462805748
