,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-6.958262818525614,8.940874944059878,1.9826121255342624,299.9501958311968,4.819804191589356
10,1100,0.0011,-9.32816946492651,8.793479000906263,-0.5346904640202474,295.0053283221144,50.74236679077149
20,2100,0.0021,-14.685247217838926,10.744840745204652,-3.940406472634271,360.46998821299866,92.96955752372742
30,3100,0.0031000000000000003,-14.261484449434604,11.079426024499913,-3.1820584249346897,371.69471964865363,137.425302028656
40,4100,0.0041,-11.89375530980334,10.378518362247275,-1.515236947556062,348.1805343068776,182.20867013931274
50,5100,0.0051,-15.29076472498944,16.840821304365065,1.5500565793756245,564.9791189125777,227.62791061401367
60,6100,0.0061,-19.218824359145483,13.149531474568331,-6.069292884577142,441.143016266624,276.08613753318787
70,7100,0.007099999999999999,-16.687071981351473,11.003253485592008,-5.683818495759463,369.13926863235616,315.5469875335693
80,8100,0.0081,-15.561838359550814,18.050093962710548,2.4882556031597307,605.5480311223413,360.2718634605408
90,9100,0.0091,-8.879407342074234,8.48770558598231,-0.3917017560919245,284.7471828654052,404.8317754268646
100,10100,0.0101,-20.17608123027798,9.246410140146331,-10.929671090131647,310.2003494764328,449.4844784736633
110,11100,0.0111,-21.997507212602702,8.786268196371774,-13.211239016230927,294.7634188618263,486.34858298301697
120,12100,0.0121,-21.6572402825715,14.081719597632807,-7.575520684938692,472.4162430832536,518.2926721572876
130,13100,0.0131,-18.285959046393934,13.02096963141136,-5.264989414982574,436.82999877419473,548.6391978263855
140,14100,0.014099999999999996,-24.900471033588985,7.294928214913815,-17.605542818675172,244.73165773240768,579.0537402629852
150,15100,0.0151,-21.702483608308945,8.19357289732036,-13.508910710988586,274.87956273689383,609.6258456707002
160,16100,0.0161,-21.83387884522348,11.456298443266167,-10.377580401957314,384.3381081894382,640.3216626644136
170,17100,0.017099999999999997,-20.40181822609683,12.779319114024675,-7.622499112072152,428.72306064270884,670.7933702468873
180,18100,0.0181,-21.844935462231174,17.754251762627234,-4.090683699603943,595.6230599751855,701.2246441841125
190,19100,0.0191,-21.4318150571563,9.255668988639794,-12.176146068516505,310.5109671101836,731.644519329071
200,20100,0.0201,-20.574448801965264,14.96252598906425,-5.611922812901014,501.9657056640672,762.0652320384979
210,21100,0.0211,-20.60415188679498,13.74631376910558,-6.8578381176894005,461.16398370381705,792.6542046070099
220,22100,0.0221,-20.668469775860103,14.84779430410896,-5.820675471751142,498.11666498452536,823.2655713558197
230,23100,0.0231,-21.590900170233308,8.012222896517503,-13.578677273715803,268.79559795770354,853.7834784984589
240,24100,0.0241,-23.097986887096763,8.515560201137898,-14.58242668595886,285.68165486316775,884.3815994262695
250,25100,0.0251,-29.16488151595589,11.064642248341196,-18.10023926761469,371.1987506767491,914.8503727912904
260,26100,0.0261,-25.760272621855634,8.115020899682914,-17.645251722172716,272.2442851805359,945.3505856990814
270,27100,0.0271,-28.632775756956445,12.904099333387196,-15.728676423569244,432.90921149123534,975.8496520519257
280,28100,0.0281,-24.31629118898749,11.63189864685008,-12.684392542137413,390.22917766334746,1006.3558061122894
290,29100,0.0291,-22.609007839731554,10.150177181877325,-12.45883065785423,340.5201003787867,1036.8756740093233
300,30100,0.0301,-25.931020205953974,9.079365237175043,-16.851654968778934,304.59629487637045,1067.4180810451508
310,31100,0.0311,-29.750300488227463,10.12975407873321,-19.62054640949425,339.8349421782878,1097.9888458251953
320,32100,0.0321,-25.475766012257203,9.952588192526825,-15.523177819730376,333.89134688199994,1128.4707741737366
330,33100,0.0331,-23.74704105257906,10.773566506520893,-12.973474546058169,361.43368559005796,1159.0199329853058
340,34100,0.0341,-29.94142428708521,8.635420854825508,-21.306003432259704,289.7027631742665,1189.681399345398
350,35100,0.0351,-31.9339697150765,10.659785278632476,-21.274184436444024,357.61653102738074,1220.1415631771088
360,36100,0.0361,-28.17112139457179,8.852018955681109,-19.319102438890678,296.9692380075228,1250.5803182125094
370,37100,0.0371,-18.841112143023942,11.725278670823181,-7.115833472200757,393.36190870507437,1281.0498509407046
380,38100,0.0381,-19.58936180758868,12.703536203990044,-6.8858256035986365,426.1806809709465,1311.5294694900513
390,39100,0.0391,-23.249890333963965,11.005317348688235,-12.244572985275733,369.2085075092843,1342.0206429958346
400,40100,0.0401,-22.882082432409124,11.243470715389133,-11.638611717019993,377.1981225555447,1372.5202252864838
410,41100,0.0411,-21.09790992937982,11.48842860846234,-9.609481320917482,385.4160171640048,1402.924554824829
420,42100,0.0421,-24.499102168345622,12.940500309752993,-11.558601858592628,434.1303984620501,1433.471153497696
430,43100,0.0431,-20.184564454261533,14.320470452265992,-5.864094001995541,480.4259027698224,1464.0058360099792
440,44100,0.0441,-20.441305429410342,16.24799682440505,-4.193308605005292,545.0909290016259,1494.525021314621
450,45100,0.0451,-24.031000211468143,10.843920291547477,-13.187079919920668,363.79392792967485,1525.007518529892
460,46100,0.0461,-20.909012092398427,13.79382473632864,-7.115187356069789,462.7578907891807,1555.6060464382172
470,47100,0.0471,-25.763705845558476,8.557557447645934,-17.20614839791254,287.0905865833039,1586.0953454971313
