,iter,ns,epot,ekin,etot,T,t
0,100,0.0001,-6.151810149754281,7.315130136638565,1.163319986884284,245.40939569602062,4.815606594085693
10,1100,0.0011,-10.518915111159233,10.02292843717074,-0.495986673988492,336.25113496624937,50.7381591796875
20,2100,0.0021,-12.120095790784204,8.333944264652647,-3.786151526131557,279.58876842244985,92.96537017822266
30,3100,0.0031000000000000003,-15.94929366278722,13.885476589427768,-2.063817073359456,465.83264482135047,137.42109847068787
40,4100,0.0041,-14.704201507935007,11.790964844405293,-2.9132366635297124,395.565561116346,182.20446515083316
50,5100,0.0051,-11.049629417079869,7.130747793381157,-3.9188816236987134,239.2237013077306,227.623717546463
60,6100,0.0061,-12.955230717610293,10.120972613049354,-2.834258104560938,339.5403398750415,276.0818908214569
70,7100,0.007099999999999999,-16.23901016855416,11.296760158423554,-4.942250010130605,378.9858870611348,315.54278588294983
80,8100,0.0081,-11.944395826435215,9.113643185910929,-2.8307526405242878,305.74625810707767,360.26766872406006
90,9100,0.0091,-13.931880615296748,13.060884244134533,-0.8709963711622173,438.16906189472235,404.8275730609894
100,10100,0.0101,-17.213120374130153,11.553985990972253,-5.659134383157897,387.6153488675641,449.4802691936493
110,11100,0.0111,-10.516068301667707,13.928750627149075,3.4126823254813683,467.2844105791903,486.344306230545
120,12100,0.0121,-11.599379815891908,12.570446908345456,0.9710670924535484,421.71577562987005,518.2883999347687
130,13100,0.0131,-4.37021747459243,6.990289608504508,2.6200721339120783,234.5115830504636,548.634925365448
140,14100,0.014099999999999996,-14.852741024579256,14.351433801048248,-0.5013072235310077,481.46466716245016,579.0494945049286
150,15100,0.0151,-18.055250799438152,8.362995697131634,-9.692255102306518,280.5633914784448,609.6215937137604
160,16100,0.0161,-16.680725432858864,7.650540733206526,-9.030184699652338,256.6618150346066,640.3173882961272
170,17100,0.017099999999999997,-21.977491810736904,11.08439584919018,-10.893095961546726,371.8614482852153,670.7890939712523
180,18100,0.0181,-20.46435653105166,9.638682691608693,-10.825673839442967,323.36038463703096,701.2203834056854
190,19100,0.0191,-18.548322940852632,14.286414427006731,-4.261908513845904,479.283384670681,731.640243768692
200,20100,0.0201,-21.711656396772042,10.859392064152665,-10.852264332619376,364.3129779389656,762.0609617233276
210,21100,0.0211,-26.52697269566458,16.302903000396118,-10.224069695268456,546.9329319760446,792.649929523468
220,22100,0.0221,-25.923370774639768,17.127441784245523,-8.795928990394247,574.5947180130319,823.2612962722777
230,23100,0.0231,-27.977066810991502,10.50430063336729,-17.472766177624212,352.4003021808938,853.7792704105377
240,24100,0.0241,-22.454052298488907,9.381396474849916,-13.07265582363899,314.72889704948386,884.377320766449
250,25100,0.0251,-31.24832991985595,9.50175538494635,-21.746574534909605,318.7667209626167,914.846096754074
260,26100,0.0261,-29.17899652952268,9.66824241617649,-19.510754113346188,324.35205997398634,945.3463060855864
270,27100,0.0271,-25.76421277228897,8.941412955103416,-16.822799817185558,299.9682451293783,975.845374584198
280,28100,0.0281,-23.782287374814548,12.48679933856013,-11.29548803625442,418.9095508370065,1006.3515994548798
290,29100,0.0291,-22.182036643829274,16.489939916879027,-5.692096726950247,553.2076824985294,1036.8714079856873
300,30100,0.0301,-26.670575456126482,12.38889245482112,-14.281683001305359,415.62495183137474,1067.413803100586
310,31100,0.0311,-20.91787236541194,11.428800119069574,-9.489072246342364,383.41558910943724,1097.9845759868622
320,32100,0.0321,-23.65779991540543,10.84869271018106,-12.809107205224374,363.95403394980013,1128.4664990901947
330,33100,0.0331,-26.902240475926128,14.527837932896585,-12.374402543029547,487.3827069767185,1159.0156574249268
