,epoch,lr,train_loss,val_loss
0,0,9.999999747378753e-05,745.467529296875,744.7073974609375
1,1,9.999999747378753e-05,743.9330444335938,744.1831665039062
2,2,9.999999747378753e-05,743.6140747070312,743.8869018554688
3,3,9.999999747378753e-05,743.5763549804688,743.6373901367188
4,4,9.999999747378753e-05,743.1728515625,743.4354858398438
5,5,9.999999747378753e-05,743.012939453125,743.2552490234375
6,6,9.999999747378753e-05,742.9814453125,743.1447143554688
7,7,9.999999747378753e-05,742.4073486328125,743.052734375
8,8,9.999999747378753e-05,742.7122802734375,742.9136352539062
9,9,9.999999747378753e-05,742.3427734375,742.890869140625
10,10,9.999999747378753e-05,742.3665161132812,742.7632446289062
11,11,9.999999747378753e-05,742.1884765625,742.6707153320312
12,12,9.999999747378753e-05,742.0046997070312,742.6065063476562
13,13,9.999999747378753e-05,742.3346557617188,742.4999389648438
14,14,9.999999747378753e-05,742.403564453125,742.4822387695312
15,15,9.999999747378753e-05,742.023193359375,742.4190673828125
16,16,9.999999747378753e-05,741.4459838867188,742.3311767578125
17,17,9.999999747378753e-05,741.71044921875,742.2948608398438
18,18,9.999999747378753e-05,741.7678833007812,742.2545776367188
19,19,9.999999747378753e-05,741.3529052734375,742.2559814453125
20,20,9.999999747378753e-05,741.7210083007812,742.1795043945312
21,21,9.999999747378753e-05,741.435546875,742.1686401367188
22,22,9.999999747378753e-05,741.0773315429688,742.142578125
23,23,9.999999747378753e-05,741.091796875,742.0137939453125
24,24,9.999999747378753e-05,741.237060546875,742.00732421875
25,25,9.999999747378753e-05,741.0211791992188,741.963134765625
26,26,9.999999747378753e-05,741.415283203125,741.9359741210938
27,27,9.999999747378753e-05,741.11962890625,741.8995361328125
28,28,9.999999747378753e-05,740.75927734375,741.9126586914062
29,29,9.999999747378753e-05,740.93798828125,741.8614501953125
30,30,9.999999747378753e-05,741.0850219726562,741.82373046875
31,31,9.999999747378753e-05,740.7677001953125,741.820068359375
32,32,9.999999747378753e-05,740.8934326171875,741.7562255859375
33,33,9.999999747378753e-05,740.62646484375,741.7538452148438
34,34,9.999999747378753e-05,740.9059448242188,741.7333984375
35,35,9.999999747378753e-05,740.4766235351562,741.70703125
36,36,9.999999747378753e-05,740.6464233398438,741.7164916992188
37,37,9.999999747378753e-05,740.646240234375,741.6676635742188
