iter,ns,epot,ekin,etot,T,t
1,1e-06,17.13630219558084,9.77342179104187,26.90972398662271,327.8806379135798,0.7786877155303955
2,2e-06,17.29637781381928,9.587486230714616,26.883864044533894,321.6428358996733,0.8674297332763672
3,3e-06,17.404130524848185,9.412409315718165,26.81653984056635,315.7693218121514,0.97129225730896
4,4e-06,17.455069951224708,9.511839940837671,26.96690989206238,319.1050395872925,1.0772581100463867
5,4.9999999999999996e-06,17.421140688378603,9.424684162108317,26.84582485048692,316.18112072462475,1.1658544540405273
6,6e-06,17.29725601525371,9.377501054528896,26.674757069782604,314.5982127377756,1.2562921047210693
7,7e-06,17.093548502869382,9.234416476920956,26.327964979790337,309.7979837509649,1.3456857204437256
8,8e-06,16.78282430956487,9.663994397631928,26.446818707196798,324.2095466291171,1.435051441192627
9,9e-06,16.379242688934035,9.914582206704614,26.29382489563865,332.6163147446022,1.5268566608428955
10,9.999999999999999e-06,15.905121250626461,10.272809177960578,26.17793042858704,344.63418221870563,1.6178250312805176
11,1.1e-05,15.385357906764517,10.725372504560667,26.110730411325186,359.8168639236882,1.7087576389312744
12,1.2e-05,14.852209362661903,11.297735584783123,26.149944947445025,379.0186108526432,1.8314876556396484
13,1.3e-05,14.340236813824758,11.537582507278106,25.877819321102862,387.0650416350888,1.9229822158813477
14,1.4e-05,13.862829878407894,11.63895762978578,25.501787508193672,390.46599378337834,2.014237642288208
15,1.4999999999999999e-05,13.415768594445256,11.789300369686039,25.205068964131293,395.50972099766415,2.126736640930176
16,1.6e-05,13.044044151684435,12.246153031064544,25.29019718274898,410.83630213249234,2.2225077152252197
17,1.7e-05,12.751604544739049,12.422477761466844,25.174082306205893,416.7516781717457,2.3160994052886963
18,1.8e-05,12.556864718193243,12.916096983723508,25.472961701916752,433.31171097706954,2.4059462547302246
19,1.8999999999999998e-05,12.465238900874118,13.12602460818163,25.59126350905575,440.35440338251766,2.4968602657318115
20,1.9999999999999998e-05,12.490865421238684,12.889839854062739,25.380705275301423,432.4308317305764,2.5874760150909424
21,2.1e-05,12.610510118227221,12.903770473221096,25.51428059144832,432.8981788270007,2.6785640716552734
22,2.2e-05,12.828287071298321,12.492361009200781,25.320648080499105,419.0961348355805,2.772110939025879
23,2.3e-05,13.148579958206119,12.168562933378228,25.317142891584346,408.2332945810855,2.865835189819336
24,2.4e-05,13.525859281946246,11.499439218515292,25.02529850046154,385.78540323217686,2.959913969039917
25,2.4999999999999998e-05,13.9461382949745,11.064812148201629,25.010950443176128,371.2044505100123,3.053328275680542
26,2.6e-05,14.386937923402705,10.538280382252893,24.925218305655598,353.5402613455507,3.1499485969543457
27,2.7e-05,14.837577474557259,10.086179060951565,24.923756535508822,338.373079083375,3.247145175933838
28,2.8e-05,15.253332407443278,9.75977285198259,25.013105259425867,327.4227406754086,3.34118390083313
29,2.9e-05,15.63660314229372,9.23184680067255,24.868449942966272,309.7117757569202,3.431891441345215
30,2.9999999999999997e-05,15.936268061517845,9.24252300031735,25.178791061835195,310.0699429602673,3.523552894592285
31,3.1e-05,16.1565764776868,9.00866855079001,25.16524502847681,302.2245488158917,3.6125357151031494
32,3.2e-05,16.312112433108442,9.00840451451823,25.320516947626672,302.21569087615734,3.7009105682373047
33,3.2999999999999996e-05,16.349228229651082,8.951405065544186,25.30063329519527,300.3034623762616,3.7900147438049316
34,3.4e-05,16.275829298767697,8.957279495648162,25.23310879441586,300.5005388895905,3.879831314086914
35,3.5e-05,16.120694152450127,9.089076496029248,25.209770648479378,304.9220900600982,3.9654037952423096
36,3.6e-05,15.891369282946146,9.394366359705629,25.285735642651773,315.16401324635723,4.05207371711731
37,3.7e-05,15.588607085776555,9.935565304586714,25.52417239036327,333.32025975650095,4.139782190322876
38,3.7999999999999995e-05,15.24263540521096,10.183100617635663,25.42573602284662,341.62462214706295,4.233047723770142
39,3.9e-05,14.846696837415223,10.763695437558226,25.61039227497345,361.1025290660108,4.326854705810547
40,3.9999999999999996e-05,14.402329259386093,11.151478270241924,25.553807529628017,374.1119422757022,4.417699575424194
41,4.1e-05,13.97031079768609,11.350090974993972,25.32040177268006,380.7750395740846,4.520134449005127
42,4.2e-05,13.584321678814952,11.821242449557682,25.40556412837263,396.5813200495131,4.613002777099609
43,4.2999999999999995e-05,13.218897480033094,12.52909194860165,25.747989428634746,420.32839146989056,4.702743053436279
44,4.4e-05,12.896883998243643,12.828887800880949,25.725771799124594,430.3860005029192,4.795076847076416
45,4.4999999999999996e-05,12.65907155172411,12.631697367887266,25.290768919611377,423.7706178516061,4.9041407108306885
46,4.6e-05,12.488398143976646,12.98044408360376,25.468842227580407,435.4704398857067,4.993697881698608
47,4.7e-05,12.380764427200646,12.954702401681606,25.335466828882254,434.60685297929274,5.086606740951538
48,4.8e-05,12.330161849856479,12.762223851414998,25.092385701271475,428.1495454778461,5.178157329559326
49,4.9e-05,12.323949802306142,12.501970361993862,24.825920164300005,419.41851125512886,5.268294811248779
50,4.9999999999999996e-05,12.361198588317873,12.262308863857353,24.623507452175225,411.37830112479884,5.357558727264404
51,5.1e-05,12.442900645229193,11.920449479158556,24.36335012438775,399.9095365991008,5.449958801269531
52,5.2e-05,12.552326915132097,11.771504156192773,24.323831071324868,394.91269019746204,5.542523145675659
53,5.3e-05,12.686594629827264,11.889769418634536,24.576364048461798,398.8802760155595,5.634712219238281
54,5.4e-05,12.836940837469694,11.753144600942653,24.590085438412345,394.29676029942607,5.727715015411377
55,5.4999999999999995e-05,13.00257573267789,11.565686900747155,24.568262633425043,388.00789324385204,5.81707763671875
56,5.6e-05,13.18208032826568,11.205491255803004,24.387571584068684,375.92398032542764,5.911154508590698
57,5.6999999999999996e-05,13.38986425385916,10.866357171841894,24.256221425701057,364.5466447141348,6.002117156982422
58,5.8e-05,13.618244842562518,10.510194765652331,24.128439608214848,352.5980396667903,6.097767114639282
59,5.9e-05,13.867316670663019,10.216750031423693,24.084066702086712,342.7534991661997,6.193468332290649
60,5.9999999999999995e-05,14.113295886438397,9.794199770982505,23.907495657420903,328.5777015892451,6.28095555305481
61,6.1e-05,14.34479259966276,9.484556532163342,23.829349131826103,318.1897305346539,6.374521493911743
62,6.2e-05,14.558766066662903,9.269932751920832,23.828698818583735,310.9894905898437,6.4672605991363525
