epoch,steps,train_loss,val_loss,test_loss,t
1,100,1.0941330409338683,1.0825489069046619,1.588629470644979,4073.7549996376038
2,100,1.0386778790637228,1.019555875606026,,8108.165775060654
3,100,1.0138172378258588,1.0164782625893027,,12135.390624284744
4,100,0.9951135816112627,1.0012757925717384,,16160.078907489777
5,100,0.9828158158794709,0.9826634395253966,,20194.601466417313
6,100,0.9673844802707768,0.9571815658191188,,24225.595742225647
7,100,0.95160199660119,0.955884270665689,,28259.236391067505
8,100,0.941187230196825,0.9402953119495624,,32297.406514406204
9,100,0.931756294874226,0.9377611686729515,,36329.785610198975
10,100,0.9243222830117761,0.9278308960313482,1.3513066723655716,40382.05487036705
11,100,0.9195076490331971,0.9215232150866053,,44412.82519340515
12,100,0.9146467494739201,0.9214149363065428,,48440.354012966156
13,100,0.910939123612682,0.916780521247325,,52470.18618106842
14,100,0.9084437003368351,0.926180221282697,,56507.816949129105
15,100,0.9079967827388925,0.9133753978952791,,60579.15025472641
16,100,0.9058047473267337,0.9123926463664621,,64619.69483804703
17,100,0.9106568591534614,0.9134769851441845,,68650.46978402138
18,100,0.9039445351248152,0.9081839783832997,,72714.84399724007
19,100,0.9020516482173371,0.9428408552200181,,76750.54804039001
20,100,0.8998247344662105,0.9092112084294354,1.3729938680505227,80813.46161532402
21,100,0.8961932946523384,0.9059668187471238,,84846.1429977417
22,100,0.8934893025449435,0.9032080435000024,,88882.16173815727
23,100,0.891150901511877,0.9091230780687567,,92912.34887814522
24,100,0.8857478113207914,0.9076302165213614,,96948.47721648216
25,100,0.8921373356181662,0.907690737657992,,100984.11596035957
26,100,0.8851071647285993,0.8924031805217543,,105019.68146109581
27,100,0.8814780711272012,0.8965162694584922,,109063.69619250298
28,100,0.880561025542409,0.9057584849562942,,113096.78524875641
29,100,0.8817728358540932,0.89625153953735,,117136.61115837097
30,100,0.8817060584880393,0.8981574687129473,1.2640587139066493,121183.64871454239
31,100,0.882787308100267,0.8922510453706567,,125217.65654087067
32,100,0.8841759153245904,0.8913697291318099,,129260.89098978043
33,100,0.8844854364427495,0.9052827879555176,,133306.26731586456
34,100,0.883448882245678,0.9015050185897563,,137347.88353681564
35,100,0.8813859610858517,0.8823783759938814,,141380.93883824348
36,100,0.8803020458307098,0.8959687259216665,,145420.31739211082
37,100,0.8862699042725767,0.9060017420566925,,149460.71685051918
38,100,0.8821196271505819,0.9006960003064141,,153495.0167529583
39,100,0.8803140084067571,0.8939736944929938,,157533.25564312935
40,100,0.8814202439442553,0.8863224617311691,1.264448128334839,161592.50031805038
41,100,0.8799162017792169,0.8978536307655312,,165624.88546061516
42,100,0.8857704082524376,2.1097697371917237,,169667.50746965408
43,100,0.8831178996348311,0.9536499023876706,,173705.04699373245
44,100,0.8830031990828356,0.8867938267795659,,177741.58782196045
45,100,0.8819288212395173,0.895747669626795,,181776.2363858223
46,100,0.8918907788013171,0.9032401724464528,,185817.9054954052
47,100,0.8824431045687677,0.8843707358508154,,189856.82078433037
48,100,0.8797488853557458,0.9029693772321116,,193892.34139871597
49,100,0.8790375175151172,0.8920201573386174,,197933.81856942177
50,100,0.8838581672440636,0.9042486087456949,1.3808393572873268,201990.90509700775
51,100,0.8808535931324324,0.9172928695870552,,206028.92286396027
52,100,0.8809254295957574,0.8905707326839288,,210068.65490031242
53,100,0.8914970411154275,0.9161453229782633,,214108.6799147129
54,100,0.8827670220150172,0.9020324420512977,,218143.94192290306
55,100,0.8826770280235012,0.914036003163889,,222185.7255511284
56,100,0.8954231302596563,0.9063751506733623,,226225.695861578
57,100,0.8824542933935834,0.8896102045407437,,230260.91620254517
58,100,266.2517380040254,1.0982424126227563,,234331.6963248253
